Length (mm),Weight (g),Sex,Year
206,330,M,1985
209,309,F,1985
209,314,F,1986
209,336,M,1985
210,309,M,1985
210,315,M,1985
210,319,M,1986
210,324,M,1986
210,331,F,1985
211,309,F,1986
211,313,F,1986
211,319,F,1986
211,335,F,1986
211,340,M,1985
211,345,F,1986
212,316,M,1986
212,319,F,1985
212,325,F,1985
212,332,M,1986
213,320,M,1985
213,329,F,1985
213,340,F,1986
213,354,F,1985
214,319,F,1985
214,330,M,1986
214,330,M,1986
214,340,M,1985
214,355,F,1986
215,299,M,1985
215,307,M,1986
215,320,M,1986
215,320,F,1986
215,340,M,1985
215,343,F,1985
216,324,M,1986
216,327,F,1985
217,342,M,1986
217,348,M,1985
217,357,F,1985
218,329,F,1985
218,332,F,1985
218,338,M,1986
218,345,M,1985
218,350,F,1986
218,357,F,1985
218,369,F,1986
219,335,M,1985
219,361,F,1985
220,355,M,1985
221,339,F,1985
221,344,F,1986
221,368,F,1986
221,380,M,1985
221,383,M,1986
222,344,M,1986
222,364,F,1985
223,335,M,1985
223,357,M,1986
224,350,M,1986
224,355,M,1985
225,379,F,1985
226,350,M,1986
227,357,F,1986
227,399,F,1985
228,369,M,1985
